City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mataura,100,NZ,1578195299,65,-46.19,168.86,57.99,23.0
Busselton,27,AU,1578195300,28,-33.64,115.35,87.01,7.0
Geraldton,90,CA,1578195302,85,49.72,-86.95,14.0,2.24
Bluff,95,AU,1578195303,35,-23.58,149.07,89.51,11.23
Torbay,75,CA,1578195304,86,47.66,-52.73,30.0,9.17
Carnarvon,15,ZA,1578195305,37,-30.97,22.13,59.72,7.9
Rikitea,67,PF,1578195306,80,-23.12,-134.97,76.08,18.99
Ushuaia,40,AR,1578195300,62,-54.81,-68.31,51.8,11.41
Chokurdakh,84,RU,1578195308,97,70.62,147.9,-14.17,3.94
Georgetown,50,GY,1578195069,94,6.8,-58.16,78.8,4.7
Atuona,0,PF,1578195310,67,-9.8,-139.03,81.32,5.35
Guerrero Negro,0,MX,1578195311,43,27.97,-114.04,62.74,6.22
Punta Arenas,90,CL,1578195313,76,-53.16,-70.91,50.0,11.41
Cardston,1,CA,1578195315,42,49.2,-113.32,33.01,18.34
Taikang,93,CN,1578195316,82,46.86,124.44,16.03,6.22
Alyangula,43,AU,1578195317,59,-13.85,136.42,89.6,12.75
New Norfolk,0,AU,1578195318,30,-42.78,147.06,69.01,10.29
Fatehabad,0,IN,1578195319,73,27.03,78.3,55.9,3.87
Fortuna,75,US,1578195320,93,40.6,-124.16,48.0,3.36
Severo-Kurilsk,100,RU,1578195321,75,50.68,156.12,20.41,2.04
Tarakan,100,ID,1578195323,82,3.3,117.63,79.0,2.48
Sharkan,100,RU,1578195324,92,57.3,53.87,27.0,1.99
Vestmannaeyjar,100,IS,1578195325,78,63.44,-20.27,43.12,35.59
Upernavik,58,GL,1578195326,95,72.79,-56.15,-35.61,9.8
Port-Gentil,100,GA,1578195327,72,-0.72,8.78,82.2,7.9
Saint-Philippe,90,CA,1578195328,92,45.36,-73.48,30.2,8.05
Chuy,0,UY,1578195329,82,-33.69,-53.46,66.78,10.25
Bolshaya Sosnova,100,RU,1578195330,93,57.67,54.6,25.3,12.41
Calvia,0,ES,1578195269,86,39.57,2.51,51.01,3.36
Alofi,2,NU,1578195332,66,-19.06,-169.92,86.0,11.41
Whittlesea,75,AU,1578195334,67,-37.51,145.12,62.01,17.22
Bredasdorp,100,ZA,1578195335,68,-34.53,20.04,66.2,5.82
Talnakh,75,RU,1578195336,84,69.49,88.39,6.8,33.55
Buala,100,SB,1578195337,71,-8.15,159.59,85.41,9.37
Saint George,75,GR,1578195163,62,39.45,22.34,41.0,1.1
Hofn,62,IS,1578195339,78,64.25,-15.21,44.15,32.79
Hermanus,38,ZA,1578195340,93,-34.42,19.24,62.01,1.99
Yar-Sale,63,RU,1578195341,85,66.83,70.83,23.4,17.54
Clarksburg,90,US,1578195343,75,39.24,-77.28,48.0,16.11
Avarua,2,CK,1578195344,83,-21.21,-159.78,82.4,3.36
Vaini,0,IN,1578195345,72,15.34,74.49,65.91,7.76
Namatanai,100,PG,1578195347,73,-3.66,152.44,83.07,3.74
Chegdomyn,14,RU,1578195348,89,51.13,133.04,-12.6,1.52
Kapaa,90,US,1578195349,83,22.08,-159.32,80.6,17.22
Bukachacha,0,RU,1578195350,87,52.99,116.91,6.37,1.32
Santa Cruz de Tenerife,90,ES,1578195351,93,28.47,-16.25,62.6,4.7
